#,Region,AZ,State,ID,Name,OS,Instance Type,EBS,Private IP,Public IP,Elastic IP,Launch Time
1,cn-north-1,cn-north-1b,running,i-02965b3ae8f13ad52,prod-proxy-2,Linux,t2.medium,EBS,10.28.11.250,54.223.106.53,ElasticIP,2016-12-27 02:21:29 UTC
2,cn-north-1,cn-north-1a,running,i-0df2c6afde2ee26e1,es-snow-restore-data-07,Linux,m4.4xlarge,EBS,10.28.18.213,unassigned,,2019-03-19 07:51:55 UTC
3,cn-north-1,cn-north-1a,running,i-09a6fdd48fa74486a,nodes.test100.k8s.local,Linux,r4.xlarge,EBS,10.110.200.194,unassigned,,2018-12-12 09:26:20 UTC
4,cn-north-1,cn-north-1a,running,i-03bca9be6ae662b90,prometheus-test,Linux,t2.small,EBS,10.110.32.230,unassigned,,2017-11-08 07:35:43 UTC
5,cn-north-1,cn-north-1a,running,i-0a5cbbe45c1406011,nodes3.manage.k8s.local,Linux,r4.xlarge,EBS,10.100.64.118,unassigned,,2019-02-21 02:39:02 UTC
6,cn-north-1,cn-north-1a,running,i-0083a00ad9d04a94d,nodem3.xh-prod.k8s.local,Linux,m3.xlarge,EBS,10.28.30.137,unassigned,,2018-11-13 10:20:23 UTC
7,cn-north-1,cn-north-1a,running,i-019a407e6ca669885,presto-risk-20180607,Linux,r4.2xlarge,EBS,10.28.100.44,54.222.206.249,,2018-06-07 08:06:26 UTC
8,cn-north-1,cn-north-1a,running,i-0d57601ae59c84e71,presto-risk-20180607,Linux,r4.2xlarge,EBS,10.28.100.157,52.80.18.178,,2018-06-07 08:06:26 UTC
9,cn-north-1,cn-north-1a,running,i-06559a18f7bf4cd08,presto-risk-20180607,Linux,r4.2xlarge,EBS,10.28.100.40,54.223.215.145,,2018-06-07 08:06:26 UTC
10,cn-north-1,cn-north-1a,running,i-019e7f6304d0aa011,presto-risk-20180607,Linux,r4.2xlarge,EBS,10.28.100.86,54.222.187.76,,2018-06-07 08:06:26 UTC
11,cn-north-1,cn-north-1b,running,i-04f68e51cd4950d4a,janusgraph-server-t3,Linux,c4.xlarge,EBS,10.28.101.82,unassigned,,2018-11-23 05:53:56 UTC
12,cn-north-1,cn-north-1b,running,i-0f39be64efb68f14a,janusgraph-server-t2,Linux,c4.xlarge,EBS,10.28.101.110,unassigned,,2018-11-23 05:53:56 UTC
13,cn-north-1,cn-north-1a,running,i-02a8f966003d9c116,powerdns-authoritative-prod,Linux,t2.small,EBS,10.100.50.60,52.80.237.39,,2018-12-11 07:31:55 UTC
14,cn-north-1,cn-north-1b,running,i-66334cde,aito-svr-01,Linux,t2.medium,EBS,10.28.3.168,unassigned,,2015-11-16 18:26:06 UTC
15,cn-north-1,cn-north-1a,running,i-01209844b5ab22e2e,nodes2.test100.k8s.local,Linux,r3.xlarge,EBS,10.110.200.149,unassigned,,2018-11-08 12:49:34 UTC
16,cn-north-1,cn-north-1b,running,i-08b340ac63300d89a,es-snow-restore-data-04,Linux,m4.4xlarge,EBS,10.28.19.211,unassigned,,2019-03-19 07:52:07 UTC
17,cn-north-1,cn-north-1a,running,i-04fe4a63cd49c4872,uat.xh-prod.k8s.local,Linux,m4.2xlarge,EBS,10.28.30.196,unassigned,,2018-12-18 09:46:46 UTC
18,cn-north-1,cn-north-1b,running,i-00a97c3eee6a8d655,es-antifraud-prod-master-02,Linux,t2.medium,EBS,10.28.19.160,unassigned,,2018-05-29 01:45:23 UTC
19,cn-north-1,cn-north-1b,running,i-26725e9e,prod-buss_monitor,Linux,t2.micro,EBS,10.28.3.169,54.223.149.214,,2016-10-10 08:14:33 UTC
20,cn-north-1,cn-north-1a,running,i-0685aa6e46a08a06f,nodes.test100.k8s.local,Linux,r4.xlarge,EBS,10.110.200.186,unassigned,,2019-01-23 03:01:04 UTC
21,cn-north-1,cn-north-1b,running,i-0dc65ad11392cee43,m4-nodes.test100.k8s.local,Linux,m4.2xlarge,EBS,10.110.201.212,unassigned,,2019-03-04 23:18:36 UTC
