#,accountId,cacheNodeType,engine,engineVersion,cacheClusterId,cacheSubnetGroupName,numCacheNodes,cacheClusterCreateTime,preferredAvailabilityZone
1,725545854813,cache.t2.medium,redis,2.8.24,redis-test1-nx,test,1,2018-04-08T07:42:27.711Z,cn-northwest-1b
2,725545854813,cache.t2.small,redis,2.8.24,ctcf-account,xhvpc,1,2018-11-27T02:45:15.719Z,cn-north-1b
3,725545854813,cache.m3.medium,redis,2.8.24,rd-aggr-001,xhvpc,1,2016-06-30T08:16:07.499Z,cn-north-1a
4,725545854813,cache.m3.medium,redis,2.8.24,rd-aggr-002,xhvpc,1,2016-06-30T08:21:04.150Z,cn-north-1b
5,725545854813,cache.m3.medium,redis,3.2.4,rd-antifraud-001,xhvpc,1,2016-10-19T08:23:31.105Z,cn-north-1a
6,725545854813,cache.m3.medium,redis,3.2.4,rd-antifraud-002,xhvpc,1,2016-10-19T08:28:26.543Z,cn-north-1b
7,725545854813,cache.m3.medium,redis,3.2.4,rd-applyapi-001,xhvpc,1,2016-10-19T08:20:57.098Z,cn-north-1a
8,725545854813,cache.m3.medium,redis,3.2.4,rd-applyapi-002,xhvpc,1,2016-10-19T08:25:51.307Z,cn-north-1b
9,725545854813,cache.m3.medium,redis,2.8.24,rd-apppush-001,xhvpc,1,2017-11-13T05:45:12.962Z,cn-north-1a
10,725545854813,cache.m3.medium,redis,2.8.24,rd-apppush-002,xhvpc,1,2017-11-13T05:50:11.151Z,cn-north-1b
11,725545854813,cache.m3.medium,redis,2.8.23,rd-appserver-001,xhvpc,1,2015-12-04T07:27:00.293Z,cn-north-1a
12,725545854813,cache.m3.medium,redis,2.8.23,rd-appserver-002,xhvpc,1,2015-12-04T07:31:39.695Z,cn-north-1b
13,725545854813,cache.m3.large,redis,2.8.24,rd-beam-etl-001,xhvpc,1,2018-05-17T07:18:32.214Z,cn-north-1b
14,725545854813,cache.m3.medium,redis,2.8.24,rd-channel-001,xhvpc,1,2017-02-28T07:36:04.745Z,cn-north-1b
15,725545854813,cache.m3.medium,redis,2.8.24,rd-channel-002,xhvpc,1,2017-02-28T07:42:07.506Z,cn-north-1a
16,725545854813,cache.m3.medium,redis,2.8.24,rd-crawler-001,xhvpc,1,2016-08-04T04:21:59.712Z,cn-north-1a
17,725545854813,cache.m3.medium,redis,2.8.24,rd-crawler-002,xhvpc,1,2016-08-04T04:26:55.696Z,cn-north-1b
18,725545854813,cache.m3.medium,redis,2.8.24,rd-credit-001,xhvpc,1,2016-05-23T04:25:36.671Z,cn-north-1a
